web_scraper_order,name_0,Character_Nickname_0,Game_Appeared_In_0,Position_0,Element_0,Kick_Lv50_0,Control_Lv50_0,Intelligence_Lv50_0,Technique_Lv50_0,Pressure_Lv50_0,Physical_Lv50_0,Agility_Lv50_0,Gender_0,Character_Role_0,image_0
"1770569606-1135","Ken Park","Park","Inazuma Eleven GO Galaxy: Big Bang / Supernova","DF","Fire","86","88","111","91","97","102","88","Unknown","Player","https://dxi4wb638ujep.cloudfront.net/1/k/e/9/e9ya-kg5mws.png"
"1770569608-1136","Ducksquiggan Garboyle","Garboyle","Inazuma Eleven GO Galaxy: Big Bang / Supernova","GK","Forest","84","92","92","86","97","101","104","Unknown","Player","https://dxi4wb638ujep.cloudfront.net/1/k/j/m/jmve4rwg1ik.png"
"1770569611-1137","Ducksquiggan Zarboyle","Zarboyle","Inazuma Eleven GO Galaxy: Big Bang / Supernova","DF","Wind","86","88","111","91","97","102","88","Unknown","Player","https://dxi4wb638ujep.cloudfront.net/1/k/4/o/4oe_vuway7m.png"
"1770569613-1138","Ducksquiggan Tarboyle","Tarboyle","Inazuma Eleven GO Galaxy: Big Bang / Supernova","DF","Fire","86","88","111","91","97","102","88","Unknown","Player","https://dxi4wb638ujep.cloudfront.net/1/k/6/v/6vzj73i2d9m.png"
"1770569615-1139","Ducksquiggan Carboyle","Carboyle","Inazuma Eleven GO Galaxy: Big Bang / Supernova","MF","Mountain","100","109","97","105","87","88","81","Unknown","Player","https://dxi4wb638ujep.cloudfront.net/1/k/l/h/lhocwiemwok.png"
"1770569617-1140","Ducksquiggan Barboyle","Barboyle","Inazuma Eleven GO Galaxy: Big Bang / Supernova","FW","Fire","118","112","89","102","83","81","81","Unknown","Player","https://dxi4wb638ujep.cloudfront.net/1/k/r/o/rol3fvxefuu.png"
"1770569620-1141","Jigo Jetok","Jetok","Inazuma Eleven GO Galaxy: Big Bang / Supernova","GK","Wind","84","92","92","86","97","101","104","Male","Player","https://dxi4wb638ujep.cloudfront.net/1/k/q/v/qvpnklpwtcm.png"
"1770569622-1142","Sofu Tokrim","Tokrim","Inazuma Eleven GO Galaxy: Big Bang / Supernova","MF","Forest","97","112","100","113","83","81","81","Female","Player","https://dxi4wb638ujep.cloudfront.net/1/k/b/9/b9ysjapkavk.png"
"1770569624-1143","Tsum Jicker","Jicker","Inazuma Eleven GO Galaxy: Big Bang / Supernova","DF","Wind","86","88","111","91","97","102","88","Female","Player","https://dxi4wb638ujep.cloudfront.net/1/k/v/x/vxn04xmonqm.png"
"1770569627-1144","Tech Nobit","Tech","Inazuma Eleven GO Galaxy: Big Bang / Supernova","DF","Fire","82","85","118","83","102","106","87","Unknown","Player","https://dxi4wb638ujep.cloudfront.net/1/k/e/_/e_wvvoqskjk.png"
"1770569629-1145","Mony Tarling","Tarling","Inazuma Eleven GO Galaxy: Big Bang / Supernova","DF","Fire","82","85","118","83","102","106","87","Unknown","Player","https://dxi4wb638ujep.cloudfront.net/1/k/-/q/-q1gg1fa_du.png"
"1770569631-1146","Shuse Keylor","Keylor","Inazuma Eleven GO Galaxy: Big Bang / Supernova","GK","Wind","84","92","92","86","97","101","104","Unknown","Player","https://dxi4wb638ujep.cloudfront.net/1/k/p/4/p4ebrk5gsw8.png"
"1770569633-1147","Dotmar Tricks","Tricks","Inazuma Eleven GO Galaxy: Big Bang / Supernova","FW","Fire","111","108","96","98","87","85","80","Unknown","Player","https://dxi4wb638ujep.cloudfront.net/1/k/n/z/nzddftrmx28.png"
"1770569636-1148","Uni & Sync","Unisync","Inazuma Eleven GO Galaxy: Big Bang / Supernova","FW","Fire","118","112","89","102","83","81","81","Male","Player","https://dxi4wb638ujep.cloudfront.net/1/k/8/x/8xy8osn26fu.png"
"1770569638-1149","Luvy & Duvy","Luvyduvy","Inazuma Eleven GO Galaxy: Big Bang / Supernova","GK","Forest","84","92","92","86","97","101","104","Female","Player","https://dxi4wb638ujep.cloudfront.net/1/k/c/e/cerj7x4-plk.png"
"1770569640-1150","Tri & Trot","Tritrot","Inazuma Eleven GO Galaxy: Big Bang / Supernova","FW","Mountain","118","112","89","102","83","81","81","Female","Player","https://dxi4wb638ujep.cloudfront.net/1/k/t/2/t2gowoeeiwm.png"
"1770569645-1151","Bunash Magee","Magee","Inazuma Eleven GO Galaxy: Big Bang / Supernova","DF","Fire","86","88","111","91","97","102","88","Male","Player","https://dxi4wb638ujep.cloudfront.net/1/k/j/e/jevj4h0xddk.png"
"1770569647-1152","Bennet Goodacre","Goodacre","Inazuma Eleven GO Galaxy: Big Bang / Supernova","MF","Mountain","97","112","100","113","83","81","81","Female","Player","https://dxi4wb638ujep.cloudfront.net/1/k/s/2/s2ecv4slwwm.png"
"1770569649-1153","Seyon Shore","Seyon","Inazuma Eleven GO Galaxy: Big Bang / Supernova","GK","Wind","84","92","92","86","97","101","104","Male","Player","https://dxi4wb638ujep.cloudfront.net/1/k/m/c/mchak1rpxpk.png"
"1770569652-1154","Iwan Gahana","Gahana","Inazuma Eleven GO Galaxy: Big Bang / Supernova","GK","Fire","84","92","92","86","97","101","104","Female","Player","https://dxi4wb638ujep.cloudfront.net/1/k/x/0/x0q7jk3t68m.png"
"1770569654-1155","Concord Rigan","Concord","Inazuma Eleven GO Galaxy: Big Bang / Supernova","MF","Fire","100","109","97","105","87","88","81","Male","Player","https://dxi4wb638ujep.cloudfront.net/1/k/3/b/3bzoaxcbpc8.png"
"1770569656-1156","Nico Burz","Burz","Inazuma Eleven GO Galaxy: Big Bang / Supernova","DF","Fire","86","88","111","91","97","102","88","Male","Player","https://dxi4wb638ujep.cloudfront.net/1/k/g/z/gzcv3okhivu.png"
"1770569659-1157","Senna Regan","Senna","Inazuma Eleven GO Galaxy: Big Bang / Supernova","GK","Mountain","84","92","92","86","97","101","104","Female","Player","https://dxi4wb638ujep.cloudfront.net/1/k/e/s/esfzzx2nnpu.png"
"1770569661-1158","Josina Mary","Josina","Inazuma Eleven GO Galaxy: Big Bang / Supernova","DF","Mountain","86","88","111","91","97","102","88","Female","Player","https://dxi4wb638ujep.cloudfront.net/1/k/1/6/160s0oq3ka8.png"
"1770569663-1159","Sylvany Igan","Sylvany","Inazuma Eleven GO Galaxy: Big Bang / Supernova","DF","Fire","86","88","111","91","97","102","88","Female","Player","https://dxi4wb638ujep.cloudfront.net/1/k/v/v/vvxnntl__6m.png"
"1770569665-1160","Solton Benvan","Solton","Inazuma Eleven GO Galaxy: Big Bang / Supernova","DF","Mountain","86","88","111","91","97","102","88","Female","Player","https://dxi4wb638ujep.cloudfront.net/1/k/k/9/k9mgksdfsjk.png"
"1770569668-1161","Geoff Nory","Nory","Inazuma Eleven GO Galaxy: Big Bang / Supernova","FW","Mountain","118","112","89","102","83","81","81","Male","Player","https://dxi4wb638ujep.cloudfront.net/1/k/k/v/kv9lqtkmzle.png"
"1770569670-1162","Mikala Datasby","Datasby","Inazuma Eleven GO Galaxy: Big Bang / Supernova","DF","Fire","86","88","111","91","97","102","88","Male","Player","https://dxi4wb638ujep.cloudfront.net/1/k/7/9/79mq9ss2ews.png"
"1770569672-1163","Kohen Moak","Moak","Inazuma Eleven GO Galaxy: Big Bang / Supernova","MF","Fire","100","109","97","105","87","88","81","Male","Player","https://dxi4wb638ujep.cloudfront.net/1/k/p/x/pxzymfvu5pe.png"
"1770569674-1164","Manny Armal","Manny","Inazuma Eleven GO Galaxy: Big Bang / Supernova","FW","Fire","118","112","89","102","83","81","81","Male","Player","https://dxi4wb638ujep.cloudfront.net/1/k/-/_/-_cthgjuuas.png"
"1770569677-1165","Tanky Hanson","Tanky","Inazuma Eleven GO Galaxy: Big Bang / Supernova","FW","Fire","118","112","89","102","83","81","81","Male","Player","https://dxi4wb638ujep.cloudfront.net/1/k/e/q/eqhmy98mh6c.png"
"1770569679-1166","Jomon Dorg","Jomon","Inazuma Eleven GO Galaxy: Big Bang / Supernova","FW","Mountain","118","112","89","102","83","81","81","Male","Player","https://dxi4wb638ujep.cloudfront.net/1/k/v/4/v4qhfcacmj0.png"
"1770569681-1167","Tage Hamley","Hamley","Inazuma Eleven GO Galaxy: Big Bang / Supernova","MF","Fire","100","109","97","105","87","88","81","Male","Player","https://dxi4wb638ujep.cloudfront.net/1/k/t/z/tzxbxbiwjp0.png"
"1770569684-1168","Hugh Semburn","Semburn","Inazuma Eleven GO Galaxy: Big Bang / Supernova","GK","Fire","84","92","92","86","97","101","104","Male","Player","https://dxi4wb638ujep.cloudfront.net/1/k/c/x/cxm6ckukk8c.png"
"1770569686-1169","Kaven Mirae","Kaven","Inazuma Eleven GO Galaxy: Big Bang / Supernova","GK","Forest","84","92","92","86","97","101","104","Female","Player","https://dxi4wb638ujep.cloudfront.net/1/k/8/e/8efpp5bcrcs.png"
"1770569689-1170","Croy Roy","Croy","Inazuma Eleven GO Galaxy: Big Bang / Supernova","DF","Fire","82","85","118","83","102","106","87","Male","Player","https://dxi4wb638ujep.cloudfront.net/1/k/n/2/n20uig948ve.png"
"1770569691-1171","Maneuver Gibbs","Gibbs","Inazuma Eleven GO Galaxy: Big Bang / Supernova","FW","Wind","118","112","89","102","83","81","81","Male","Player","https://dxi4wb638ujep.cloudfront.net/1/k/x/i/xii_bdoy980.png"
"1770569693-1172","Eas Tarmo","Tarmo","Inazuma Eleven GO Galaxy: Big Bang / Supernova","DF","Mountain","86","88","111","91","97","102","88","Male","Player","https://dxi4wb638ujep.cloudfront.net/1/k/a/g/agtes8oiqpc.png"
"1770569696-1173","Thor Nado","Thor","Inazuma Eleven GO Galaxy: Big Bang / Supernova","GK","Wind","84","92","92","86","97","101","104","Male","Player","https://dxi4wb638ujep.cloudfront.net/1/k/0/k/0ksgdxrq3w0.png"
"1770569698-1174","Elu Suay","Suay","Inazuma Eleven GO Galaxy: Big Bang / Supernova","MF","Mountain","100","109","97","105","87","88","81","Unknown","Player","https://dxi4wb638ujep.cloudfront.net/1/k/f/i/fidnwonqadc.png"
"1770569700-1175","Tog Romack","Romack","Inazuma Eleven GO Galaxy: Big Bang / Supernova","MF","Fire","97","112","100","113","83","81","81","Male","Player","https://dxi4wb638ujep.cloudfront.net/1/k/l/n/ln-sjt4yvjs.png"
"1770569702-1176","Tippi & Tappa","Tippitappa","Inazuma Eleven GO Galaxy: Big Bang / Supernova","FW","Mountain","118","112","89","102","83","81","81","Female","Player","https://dxi4wb638ujep.cloudfront.net/1/k/u/l/ulpzoseicqe.png"
"1770569705-1177","Gieve & Tik","Gievetik","Inazuma Eleven GO Galaxy: Big Bang / Supernova","FW","Wind","118","112","89","102","83","81","81","Male","Player","https://dxi4wb638ujep.cloudfront.net/1/k/w/e/weivg1mohwe.png"
"1770569707-1178","Yolanda Umick","Umick","Inazuma Eleven GO Galaxy: Big Bang / Supernova","DF","Wind","86","88","111","91","97","102","88","Female","Player","https://dxi4wb638ujep.cloudfront.net/1/k/n/s/ns5onkq0qls.png"
"1770569709-1179","Honena Sisson","Honena","Inazuma Eleven GO Galaxy: Big Bang / Supernova","DF","Fire","86","88","111","91","97","102","88","Female","Player","https://dxi4wb638ujep.cloudfront.net/1/k/h/d/hda7exf8ffc.png"
"1770569712-1180","Moka Rimmer","Moka","Inazuma Eleven GO Galaxy: Big Bang / Supernova","DF","Fire","86","88","111","91","97","102","88","Male","Player","https://dxi4wb638ujep.cloudfront.net/1/k/2/r/2rrazo5gy20.png"
"1770569714-1181","Shawby Ehan","Shawby","Inazuma Eleven GO Galaxy: Big Bang / Supernova","DF","Fire","86","88","111","91","97","102","88","Male","Player","https://dxi4wb638ujep.cloudfront.net/1/k/y/d/ydwxppwptau.png"
"1770569716-1182","Ricky Regomen","Regomen","Inazuma Eleven GO Galaxy: Big Bang / Supernova","GK","Forest","84","92","92","86","97","101","104","Male","Player","https://dxi4wb638ujep.cloudfront.net/1/k/p/r/prb2eww1-p8.png"
"1770569718-1183","Seth Yinkley","Yinkley","Inazuma Eleven GO Galaxy: Big Bang / Supernova","FW","Wind","118","112","89","102","83","81","81","Male","Player","https://dxi4wb638ujep.cloudfront.net/1/k/d/b/db-u1bvxzwu.png"
"1770569721-1184","Hawky Turbay","Turbay","Inazuma Eleven GO Galaxy: Big Bang / Supernova","FW","Mountain","118","112","89","102","83","81","81","Female","Player","https://dxi4wb638ujep.cloudfront.net/1/k/s/p/spppykzt0l8.png"
"1770569723-1185","Coby Redstone","Redstone","Inazuma Eleven GO Galaxy: Big Bang / Supernova","FW","Wind","118","112","89","102","83","81","81","Male","Player","https://dxi4wb638ujep.cloudfront.net/1/k/m/g/mgs6l5glbfm.png"
"1770569725-1186","Niall Rugan","Rugan","Inazuma Eleven GO Galaxy: Big Bang / Supernova","MF","Wind","100","109","97","105","87","88","81","Male","Player","https://dxi4wb638ujep.cloudfront.net/1/k/9/u/9udbmggfs2k.png"
"1770569728-1187","Holly Mirae","Holly","Inazuma Eleven GO Galaxy: Big Bang / Supernova","FW","Mountain","118","112","89","102","83","81","81","Female","Player","https://dxi4wb638ujep.cloudfront.net/1/k/_/p/_pahifyzpwk.png"
"1770569730-1188","Ned Jovan","Jovan","Inazuma Eleven GO Galaxy: Big Bang / Supernova","GK","Fire","84","92","92","86","97","101","104","Unknown","Player","https://dxi4wb638ujep.cloudfront.net/1/k/o/n/onrmlgujedm.png"
"1770569732-1189","Shiro Hatch","Hatch","Inazuma Eleven GO Galaxy: Big Bang / Supernova","MF","Mountain","97","112","100","113","83","81","81","Female","Player","https://dxi4wb638ujep.cloudfront.net/1/k/u/i/uiit29hbxj8.png"
"1770569734-1190","Nactena Naksey","Nactena","Inazuma Eleven GO Galaxy: Big Bang / Supernova","FW","Forest","118","112","89","102","83","81","81","Female","Player","https://dxi4wb638ujep.cloudfront.net/1/k/f/g/fg5ybch7cqu.png"
"1770569737-1191","Hannah Jarrow","Jarrow","Inazuma Eleven GO Galaxy: Big Bang / Supernova","MF","Forest","97","112","100","113","83","81","81","Female","Player","https://dxi4wb638ujep.cloudfront.net/1/k/r/i/ri251ltojf8.png"
"1770569739-1192","Smeba Myko","Myko","Inazuma Eleven GO Galaxy: Big Bang / Supernova","FW","Mountain","118","112","89","102","83","81","81","Female","Player","https://dxi4wb638ujep.cloudfront.net/1/k/g/g/gghyy0l0o2u.png"
"1770569741-1193","Nemy Minimiz","Minimiz","Inazuma Eleven GO Galaxy: Big Bang / Supernova","MF","Wind","100","109","97","105","87","88","81","Male","Player","https://dxi4wb638ujep.cloudfront.net/1/k/u/k/uk4ap5iwpj8.png"
"1770569743-1194","Iwers Mogan","Mogan","Inazuma Eleven GO Galaxy: Big Bang / Supernova","FW","Wind","118","112","89","102","83","81","81","Male","Player","https://dxi4wb638ujep.cloudfront.net/1/k/l/i/lijheguse6u.png"
"1770569746-1195","Golgi Tai","Golgi","Inazuma Eleven GO Galaxy: Big Bang / Supernova","DF","Mountain","86","88","111","91","97","102","88","Male","Player","https://dxi4wb638ujep.cloudfront.net/1/k/f/n/fnquxbbkxak.png"
"1770569748-1196","Silica Gel","Silica","Inazuma Eleven GO Galaxy: Big Bang / Supernova","DF","Wind","86","88","111","91","97","102","88","Female","Player","https://dxi4wb638ujep.cloudfront.net/1/k/0/l/0lb16k9ecpm.png"
"1770569750-1197","Hemo Globin","Globin","Inazuma Eleven GO Galaxy: Big Bang / Supernova","GK","Forest","84","92","92","86","97","101","104","Male","Player","https://dxi4wb638ujep.cloudfront.net/1/k/2/e/2ecpu9vyzvm.png"
"1770569753-1198","Metha Nol","Metha","Inazuma Eleven GO Galaxy: Big Bang / Supernova","MF","Fire","100","109","97","105","87","88","81","Male","Player","https://dxi4wb638ujep.cloudfront.net/1/k/h/s/hsti5cji0ck.png"
"1770569755-1199","Salicy Lic","Salicy","Inazuma Eleven GO Galaxy: Big Bang / Supernova","MF","Fire","100","109","97","105","87","88","81","Female","Player","https://dxi4wb638ujep.cloudfront.net/1/k/n/d/ndo9qf8ab8u.png"
"1770569757-1200","Diazo Cabot","Diazo","Inazuma Eleven GO Galaxy: Big Bang / Supernova","GK","Forest","84","92","92","86","97","101","104","Male","Player","https://dxi4wb638ujep.cloudfront.net/1/k/w/r/wr_chga6sp8.png"
"1770569762-1201","Tau Rin","Tau","Inazuma Eleven GO Galaxy: Big Bang / Supernova","DF","Wind","86","88","111","91","97","102","88","Female","Player","https://dxi4wb638ujep.cloudfront.net/1/k/4/d/4dkrdhtznjc.png"
"1770569764-1202","Brom Hexine","Brom","Inazuma Eleven GO Galaxy: Big Bang / Supernova","FW","Fire","118","112","89","102","83","81","81","Male","Player","https://dxi4wb638ujep.cloudfront.net/1/k/j/r/jrvwwe1jgq0.png"
"1770569767-1203","Mag Nessium","Mag","Inazuma Eleven GO Galaxy: Big Bang / Supernova","FW","Mountain","118","112","89","102","83","81","81","Male","Player","https://dxi4wb638ujep.cloudfront.net/1/k/9/b/9bqobt2rhvc.png"
"1770569769-1204","Ribo Som","Ribo","Inazuma Eleven GO Galaxy: Big Bang / Supernova","MF","Fire","100","109","97","105","87","88","81","Male","Player","https://dxi4wb638ujep.cloudfront.net/1/k/m/p/mpbjssqrqc0.png"
"1770569771-1205","Dioxily Bocca","Dioxily","Inazuma Eleven GO Galaxy: Big Bang / Supernova","MF","Fire","97","112","100","113","83","81","81","Male","Player","https://dxi4wb638ujep.cloudfront.net/1/k/s/g/sg48_xlzf8e.png"
"1770569773-1206","Terryl Terrid","Terryl","Inazuma Eleven GO Galaxy: Big Bang / Supernova","MF","Fire","97","112","100","113","83","81","81","Female","Player","https://dxi4wb638ujep.cloudfront.net/1/k/d/u/dujdsodjyps.png"
"1770569776-1207","Isor Eshen","Eshen","Inazuma Eleven GO Galaxy: Big Bang / Supernova","DF","Mountain","86","88","111","91","97","102","88","Male","Player","https://dxi4wb638ujep.cloudfront.net/1/k/f/p/fpob8xrp3js.png"
"1770569778-1208","Anthocia Arnin","Arnin","Inazuma Eleven GO Galaxy: Big Bang / Supernova","GK","Mountain","84","92","92","86","97","101","104","Female","Player","https://dxi4wb638ujep.cloudfront.net/1/k/u/n/un_gro31a6e.png"
"1770569780-1209","Luka Aril","Luka","Inazuma Eleven GO Galaxy: Big Bang / Supernova","FW","Wind","118","112","89","102","83","81","81","Male","Player","https://dxi4wb638ujep.cloudfront.net/1/k/o/i/oicvc1c9va0.png"
"1770569782-1210","Otto Sheveme","Otto","Inazuma Eleven GO Galaxy: Big Bang / Supernova","MF","Mountain","100","109","97","105","87","88","81","Male","Player","https://dxi4wb638ujep.cloudfront.net/1/k/_/g/_gt0vkkhcpc.png"
"1770569785-1211","Gengo Rowe","Rowe","Inazuma Eleven GO Galaxy: Big Bang / Supernova","GK","Wind","84","92","92","86","97","101","104","Male","Player","https://dxi4wb638ujep.cloudfront.net/1/k/3/k/3kd0ff7hmvm.png"
"1770569787-1212","Gomara Raccamere","Raccamere","Inazuma Eleven GO Galaxy: Big Bang / Supernova","FW","Mountain","118","112","89","102","83","81","81","Male","Player","https://dxi4wb638ujep.cloudfront.net/1/k/g/i/giyvygdblck.png"
"1770569789-1213","Morr Fauche","Fauche","Inazuma Eleven GO Galaxy: Big Bang / Supernova","MF","Forest","97","112","100","113","83","81","81","Female","Player","https://dxi4wb638ujep.cloudfront.net/1/k/y/i/yinndte5sjm.png"
"1770569792-1214","Ares Zumish","Zumish","Inazuma Eleven GO Galaxy: Big Bang / Supernova","DF","Mountain","86","88","111","91","97","102","88","Female","Player","https://dxi4wb638ujep.cloudfront.net/1/k/d/g/dg8sus4dbqk.png"
"1770569794-1215","Hanam Gurry","Gurry","Inazuma Eleven GO Galaxy: Big Bang / Supernova","DF","Mountain","86","88","111","91","97","102","88","Female","Player","https://dxi4wb638ujep.cloudfront.net/1/k/j/p/jpfz9pnl0wu.png"
"1770569796-1216","Hugaro Tarlow","Tarlow","Inazuma Eleven GO Galaxy: Big Bang / Supernova","FW","Mountain","118","112","89","102","83","81","81","Female","Player","https://dxi4wb638ujep.cloudfront.net/1/k/s/n/snu4qwrxzd8.png"
"1770569798-1217","Amon Boaker","Boaker","Inazuma Eleven GO Galaxy: Big Bang / Supernova","DF","Forest","86","88","111","91","97","102","88","Male","Player","https://dxi4wb638ujep.cloudfront.net/1/k/q/g/qgpk-p5dcf8.png"
"1770569801-1218","Kagraro Ephemera","Ephemera","Inazuma Eleven GO Galaxy: Big Bang / Supernova","DF","Forest","86","88","111","91","97","102","88","Male","Player","https://dxi4wb638ujep.cloudfront.net/1/k/h/u/huyftwfnx2u.png"
"1770569803-1219","Herak Lestril","Lestril","Inazuma Eleven GO Galaxy: Big Bang / Supernova","DF","Mountain","86","88","111","91","97","102","88","Male","Player","https://dxi4wb638ujep.cloudfront.net/1/k/b/b/bb7walqvewk.png"
"1770569805-1220","Milo Agrias","Milo","Inazuma Eleven GO Galaxy: Big Bang / Supernova","FW","Forest","118","112","89","102","83","81","81","Female","Player","https://dxi4wb638ujep.cloudfront.net/1/k/w/p/wpkrt0mvplm.png"
"1770569808-1221","Alec Sarker","Alec","Inazuma Eleven GO Galaxy: Big Bang / Supernova","MF","Mountain","97","112","100","113","83","81","81","Male","Player","https://dxi4wb638ujep.cloudfront.net/1/k/e/b/ebrc31fcijs.png"
"1770569810-1222","Mitchi Osha","Mitchi","Inazuma Eleven GO Galaxy: Big Bang / Supernova","DF","Mountain","86","88","111","91","97","102","88","Female","Player","https://dxi4wb638ujep.cloudfront.net/1/k/v/p/vpg9akjml6e.png"
"1770569812-1223","Kierry Reese","Reese","Inazuma Eleven GO Galaxy: Big Bang / Supernova","FW","Forest","118","112","89","102","83","81","81","Male","Player","https://dxi4wb638ujep.cloudfront.net/1/k/b/d/bdflrhgecfs.png"
"1770569814-1224","Edana Naves","Naves","Inazuma Eleven GO Galaxy: Big Bang / Supernova","FW","Wind","118","112","89","102","83","81","81","Male","Player","https://dxi4wb638ujep.cloudfront.net/1/k/q/r/qrueg4g-v2e.png"
"1770569817-1225","Skoll Pion","Skoll","Inazuma Eleven GO Galaxy: Big Bang / Supernova","FW","Mountain","118","112","89","102","83","81","81","Female","Player","https://dxi4wb638ujep.cloudfront.net/1/k/k/e/kenxvlz2aw0.png"
"1770569819-1226","Aurora Sorker","Aurora","Inazuma Eleven GO Galaxy: Big Bang / Supernova","FW","Forest","118","112","89","102","83","81","81","Female","Player","https://dxi4wb638ujep.cloudfront.net/1/k/7/s/7s8q4avm3lc.png"
"1770569821-1227","Nathanos Hoshten","Hoshten","Inazuma Eleven GO Galaxy: Big Bang / Supernova","GK","Forest","84","92","92","86","97","101","104","Female","Player","https://dxi4wb638ujep.cloudfront.net/1/k/5/n/5n7mwdhgyjc.png"
"1770569823-1228","Norlan Rikwatta","Norlan","Inazuma Eleven GO Galaxy: Big Bang / Supernova","GK","Mountain","84","92","92","86","97","101","104","Male","Player","https://dxi4wb638ujep.cloudfront.net/1/k/i/l/ilkt78hafq0.png"
"1770569826-1229","Mantiska Markiry","Markiry","Inazuma Eleven GO Galaxy: Big Bang / Supernova","GK","Forest","84","92","92","86","97","101","104","Male","Player","https://dxi4wb638ujep.cloudfront.net/1/k/o/k/okpyohusqwe.png"
"1770569828-1230","Theraphos Tranchla","Tranchla","Inazuma Eleven GO Galaxy: Big Bang / Supernova","FW","Mountain","118","112","89","102","83","81","81","Male","Player","https://dxi4wb638ujep.cloudfront.net/1/k/z/i/ziy5feyohds.png"
"1770569830-1231","Elater Clicka","Elater","Inazuma Eleven GO Galaxy: Big Bang / Supernova","FW","Forest","118","112","89","102","83","81","81","Male","Player","https://dxi4wb638ujep.cloudfront.net/1/k/z/m/zmnlzesa5ok.png"
"1770569833-1232","Okai Cosmer","Cosmer","Inazuma Eleven GO Galaxy: Big Bang / Supernova","DF","Forest","86","88","111","91","97","102","88","Female","Player","https://dxi4wb638ujep.cloudfront.net/1/k/c/o/co8q0hkgubm.png"
"1770569835-1233","Worren Mooram","Mooram","Inazuma Eleven GO Galaxy: Big Bang / Supernova","FW","Forest","118","112","89","102","83","81","81","Male","Player","https://dxi4wb638ujep.cloudfront.net/1/k/2/k/2kdyfsjczkk.png"
"1770569837-1234","Norritz Ranhatch","Ranhatch","Inazuma Eleven GO Galaxy: Big Bang / Supernova","GK","Mountain","84","92","92","86","97","101","104","Male","Player","https://dxi4wb638ujep.cloudfront.net/1/k/h/m/hmytotv4exm.png"
"1770569839-1235","Tobiah Bragg","Bragg","Inazuma Eleven GO Galaxy: Big Bang / Supernova","GK","Fire","84","92","92","86","97","101","104","Male","Player","https://dxi4wb638ujep.cloudfront.net/1/k/n/j/njrm7oawr38.png"
"1770569842-1236","Ewano Bee","Ewano","Inazuma Eleven GO Galaxy: Big Bang / Supernova","FW","Mountain","118","112","89","102","83","81","81","Male","Player","https://dxi4wb638ujep.cloudfront.net/1/k/w/l/wlghwx8kgeu.png"
"1770569844-1237","Cameron Agura","Agura","Inazuma Eleven GO Galaxy: Big Bang / Supernova","FW","Mountain","118","112","89","102","83","81","81","Female","Player","https://dxi4wb638ujep.cloudfront.net/1/k/u/q/uqnb4oumdcu.png"
"1770569846-1238","Horton Giess","Giess","Inazuma Eleven GO Galaxy: Big Bang / Supernova","FW","Forest","118","112","89","102","83","81","81","Male","Player","https://dxi4wb638ujep.cloudfront.net/1/k/l/c/lcw6vxicux8.png"
"1770569848-1239","Silas Kaye","Silas","Inazuma Eleven GO Galaxy: Big Bang / Supernova","DF","Fire","86","88","111","91","97","102","88","Male","Player","https://dxi4wb638ujep.cloudfront.net/1/k/f/t/ft1pgk9ubrm.png"
"1770569851-1240","Crow Icarus","Icarus","Inazuma Eleven GO Galaxy: Big Bang / Supernova","MF","Fire","100","109","97","105","87","88","81","Male","Player","https://dxi4wb638ujep.cloudfront.net/1/k/0/f/0feur1bu2ik.png"
"1770569853-1241","Mozun Yarne","Yarne","Inazuma Eleven GO Galaxy: Big Bang / Supernova","DF","Mountain","86","88","111","91","97","102","88","Male","Player","https://dxi4wb638ujep.cloudfront.net/1/k/a/t/atfjx0snxoe.png"
"1770569855-1242","Men Pukk","Pukk","Inazuma Eleven GO Galaxy: Big Bang / Supernova","FW","Mountain","118","112","89","102","83","81","81","Female","Player","https://dxi4wb638ujep.cloudfront.net/1/k/r/f/rfuccl0d69s.png"
"1770569858-1243","Hector See","Hector","Inazuma Eleven GO Galaxy: Big Bang / Supernova","MF","Fire","100","109","97","105","87","88","81","Female","Player","https://dxi4wb638ujep.cloudfront.net/1/k/f/v/fvratg3_dce.png"
"1770569860-1244","Ugwis Ann","Ann","Inazuma Eleven GO Galaxy: Big Bang / Supernova","FW","Forest","118","112","89","102","83","81","81","Female","Player","https://dxi4wb638ujep.cloudfront.net/1/k/u/h/uhg7a5rfwxs.png"
"1770569862-1245","Iyer Zuck","Zuck","Inazuma Eleven GO Galaxy: Big Bang / Supernova","DF","Fire","86","88","111","91","97","102","88","Male","Player","https://dxi4wb638ujep.cloudfront.net/1/k/o/o/oodotkknfrc.png"
"1770569864-1246","Mendry Charbeau","Mendry","Inazuma Eleven GO Galaxy: Big Bang / Supernova","DF","Fire","86","88","111","91","97","102","88","Female","Player","https://dxi4wb638ujep.cloudfront.net/1/k/_/a/_ayv-bc3oi0.png"
"1770569867-1247","Bo Lourdash","Bo","Inazuma Eleven GO Galaxy: Big Bang / Supernova","DF","Fire","86","88","111","91","97","102","88","Male","Player","https://dxi4wb638ujep.cloudfront.net/1/k/9/h/9h1zqcqbtk0.png"
"1770569869-1248","Karka Poe","Poe","Inazuma Eleven GO Galaxy: Big Bang / Supernova","FW","Forest","118","112","89","102","83","81","81","Male","Player","https://dxi4wb638ujep.cloudfront.net/1/k/m/j/mjes992haxc.png"
